MFL_Code,Facility_Name,County,SubCounty,Owner,Latitude,Longitude
16137,St Clare Medical Centre,Busia,Nambale,Kenya Episcopal Conference-Catholic Secretariat,0.4608,34.1073
19869,Kisumu Police Line Dispensary,Kisumu,Kisumu Central,Armed Forces,-0.1132631,34.7521645
22085,Athi Mission Clinic,Kitui,Kitui South,Faith Based,-2.2038,38.0772
12898,Clinitec Medical Services,Nairobi,Kibra,Company Medical Service,-1.2921,36.8219
14037,Rapcom Nursing and Maternity Home,Migori,Bondo,Private Enterprise (Institution),-0.813,34.5687
12852,Yanzuu Health Centre,Kitui,Kitui East,Ministry of Health,-1.325238,38.00357
14062,Rusinga Dispensary,Kisii,Bobasi,Ministry of Health,-0.8017,34.7914
16324,Lokori Primary Health Care Programme,Turkana,Turkana East,Kenya Episcopal Conference- Catholic Secretariat,1.9597,36.0271
15497,Rongena Dispensary,Bomet,Sotik,Ministry of Health,-0.918432,35.299013
22564,Tumaini Dice Awasi,Kisumu,Muhoroni,Non-Governmental Organizations,-0.158,35.0724
12135,Kako Health Centre,Makueni,Mbooni,Ministry of Health,-1.7028,37.6473
15281,Naivasha Max Prison Health Centre,Nakuru,Naivasha,Other Public Institution,-0.7,36.4476
15758,Uasin Gishu District Hospital,Uasin Gishu,Moiben,Ministry of Health,0.5528,35.3027
15096,Lowarengak Health Center,Turkana,Turkana North,Ministry of Health,4.0634,35.8103
15364,Nkorinkori Dispensary,Narok,Narok West,Ministry of Health,-0.918432,35.299013
17522,Future Life Dispensary,Siaya,Alego Usonga,Other Faith Based,0.0372,34.287
20170,Among'ura Community Dispensary,Busia,Teso South,Ministry of Health,0.5426054,34.1348251
18345,LVCT Health Thika,Kiambu,Thika Town,Private Enterprise (Institution),-1.0345,37.0747
13825,Moticho Health Centre,Kisii,South Mugirango,Ministry of Health,2.0928,36.9059
16388,Mahanga Dispensary,Bungoma,Webuye West,Other Public Institution,0.696185,34.6478
11751,Rainbow Community Care,Kilifi,Magarini,Community,-3.968514,39.54447
12743,St Ann Hospital,Meru,Imenti South,Christian Health Association of Kenya,-0.1931,37.6671
15878,Emusenjeli Dispensary,Vihiga,Luanda,Ministry of Health,0.095981,34.739828
13924,Nyangena Sub District Hospital (Manga),Nyamira,Manga,Ministry of Health,-0.6818,34.8471
16700,Nakukulas Dispensary,Turkana,Turkana East,Community,0.865298,36.452774
11923,Akachiu Health Centre,Meru,Igembe South,Ministry of Health,0.1832,37.9566
13070,Marura Nursing Home,Nairobi,Ruaraka,Private Enterprise (Institution),-1.2488,36.871
11867,Ukunda Diani Catholic Dispensary,Kwale,Msambweni,Kenya Episcopal Conference- Catholic Secretariat,-4.288,39.5762
12162,Kambandi Dispensary,Tharaka-Nithi,Chuka,Ministry of Health,-0.298069,37.669799
15067,Lokwii Health Center,Turkana,Turkana East,Ministry of Health,0.865298,36.452774
12496,Maweli Dispensary,Machakos,Mwala,Ministry of Health,-1.37,37.45
12598,Mutionjuri Health Centre,Meru,Tigania West,Ministry of Health,-0.479766,37.46516
14330,Chepareria Sub District Hospital,West Pokot,Pokot South,Ministry of Health,1.3005,35.1993
14130,Suba District Hospital,Homa Bay,Suba South,Ministry of Health,-0.5986,34.1675
10738,Mount Kenya (ACK) Hospital,Kirinyaga,Kirinyaga Central,Christian Health Association of Kenya,-0.4919,37.2647
21042,Mayenje Dispensary,Busia,Matayos,Ministry of Health,None,None
13884,Nyakongo health Centre,Kisumu,Nyando,Ministry of Health,-0.2008,35.0136
17672,Mbaga Dispensary,Taita Taveta,Mwatate,Ministry of Health,-3.44355,38.31014
13891,Nyamache District Hospital,Kisii,Bobasi,Ministry of Health,-0.8535,34.8281
15636,St Elizabeth Health Centre,Narok,Narok South,Other Faith Based,-1.5887,35.8338
16368,Tiinei Dispensary,West Pokot,Pokot North,Ministry of Health,1.132635,35.363383
18518,Nyeri MARPS Project DICE,Nyeri,Nyeri Central,Ministry of Health,-0.4262,36.9353
12393,Kwa Mulungu Dispensary,Kitui,Kitui West,Ministry of Health,-1.325238,38.00357
14816,Katee Dispensary,Elgeyo Marakwet,Marakwet West,Ministry of Health,0.9132,35.5286
13868,Nyachenge Dispensary,Kisii,Bobasi,Ministry of Health,-0.8443,34.77546
10286,GK Prison Dispensary (Kingongo),Nyeri,Nyeri Central,Other Public Institution,-0.4169,36.9592
11400,Godo Dispensary,Kwale,Lunga Lunga,Ministry of Health,-4.525,39.0296
13023,Kenyatta National Hospital,Nairobi,Kibra,Ministry of Health,-1.3009,36.8073
13057,Makadara Mercy Sisters Dispensary,Nairobi,Makadara,Kenya Episcopal Conference-Catholic Secretariat,-1.2911,36.861
10468,Kangaru Dispensary (Kirinyaga),Kirinyaga,Kirinyaga West,Ministry of Health,-0.6255,37.2529
18431,Marimani CDF Dispensary,Mombasa,Kisauni,Ministry of Health,-3.972209,39.6248004
10431,Kairini Dispensary,Kirinyaga,Kirinyaga West,Ministry of Health,-0.566715,37.320265
19929,LVCT DICE Clinic Karungu,Migori,Nyatike,Non-Governmental Organizations,-0.845,34.1552
15655,St Mary's Kapsoya Dispensary,Uasin Gishu,Ainabkoi,Other Faith Based,0.5219,35.304
17520,Got Regea Dispensary,Siaya,Gem,Ministry of Health,0.135,34.4676
13930,Nyangu Dispensary,Siaya,Ugenya,Ministry of Health,0.2249,34.1353
17678,Rikenye Dispensary (Masaba),Nyamira,Masaba North,Ministry of Health,-0.560304,34.927533
12831,Uruku Health Centre,Meru,Imenti South,Ministry of Health,-0.293978,37.618555
11450,Kahada Medical Clinic,Mombasa,Jomvu,Private Enterprise (Institution),-4.06051,39.670281
18454,Likoni HIV Resource Centre,Mombasa,Likoni,Private Practice - Unspecified,-4.0811,39.6392
13807,Migosi Sub County Hospital,Kisumu,Kisumu Central,Local Authority,-0.0761,34.7833
